name,arch,dim,window,vocab_size,train_tokens,epochs,train_seconds,questions_evaluated,questions_skipped_oov,semantic_acc,syntactic_acc,total_acc
expA_cbow_d100_full,cbow,100,4,71290,16718844,1,17.8,17827,1717,3.67,4.55,4.18
expA_skipgram_d100_full,skipgram,100,10,71290,16718844,1,171.4,17827,1717,14.62,20.29,17.93
expB_cbow_d50_2M,cbow,50,4,30000,1915016,1,1.6,12268,7276,0.44,0.31,0.35
expB_cbow_d50_4M,cbow,50,4,30000,3838959,1,3.4,12268,7276,0.83,0.56,0.65
expB_cbow_d50_8M,cbow,50,4,30000,7678632,1,7.5,12268,7276,2.58,1.94,2.15
expB_cbow_d50_full,cbow,50,4,30000,16315126,1,14.8,12268,7276,5.48,6.06,5.87
expB_cbow_d100_2M,cbow,100,4,30000,1915016,1,1.8,12268,7276,0.46,0.34,0.38
expB_cbow_d100_4M,cbow,100,4,30000,3838959,1,3.4,12268,7276,0.78,0.58,0.64
expB_cbow_d100_8M,cbow,100,4,30000,7678632,1,6.9,12268,7276,2.61,2.01,2.21
expB_cbow_d100_full,cbow,100,4,30000,16315126,1,14.5,12268,7276,5.83,6.45,6.24
expB_cbow_d300_2M,cbow,300,4,30000,1915016,1,2.4,12268,7276,0.32,0.24,0.27
expB_cbow_d300_4M,cbow,300,4,30000,3838959,1,4.9,12268,7276,0.68,0.38,0.48
expB_cbow_d300_8M,cbow,300,4,30000,7678632,1,9.9,12268,7276,2.46,1.87,2.07
expB_cbow_d300_full,cbow,300,4,30000,16315126,1,21.5,12268,7276,5.56,6.16,5.96
expC_skipgram_d50_full,skipgram,50,10,71290,16718844,1,145.4,17827,1717,10.44,14.37,12.73
expC_skipgram_d100_full,skipgram,100,10,71290,16718844,1,171.6,17827,1717,14.62,20.29,17.93
expC_skipgram_d300_full,skipgram,300,10,71290,16718844,1,341.1,17827,1717,15.41,21.9,19.2
