name,arch,dim,context_grad,sample,vocab_size,train_tokens,epochs,n_seeds,semantic_acc_mean,semantic_acc_std,syntactic_acc_mean,syntactic_acc_std,total_acc_mean,total_acc_std,train_seconds_mean
expA_cbow_d100_full_mean,cbow,100,mean,0.0,71290,16718844,1,3,3.81,0.24,4.74,0.17,4.35,0.18,21.2
expA_cbow_d100_full_sum,cbow,100,sum,0.0,71290,16718844,1,3,6.03,0.03,8.53,0.44,7.49,0.27,19.4
expA_skipgram_d100_full,skipgram,100,,0.0,71290,16718844,1,3,15.57,0.92,20.08,0.19,18.21,0.32,173.4
expB_cbow_d50_2M,cbow,50,sum,0.0,30000,1915016,1,3,0.6,0.1,0.18,0.07,0.32,0.06,1.9
expB_cbow_d50_4M,cbow,50,sum,0.0,30000,3838959,1,3,1.3,0.08,0.83,0.17,0.98,0.14,3.4
expB_cbow_d50_8M,cbow,50,sum,0.0,30000,7678632,1,3,3.9,0.3,3.56,0.19,3.67,0.17,7.6
expB_cbow_d50_full,cbow,50,sum,0.0,30000,16315126,1,3,7.13,0.18,8.51,0.18,8.05,0.18,16.0
expB_cbow_d100_2M,cbow,100,sum,0.0,30000,1915016,1,3,0.4,0.17,0.24,0.04,0.3,0.08,1.9
expB_cbow_d100_4M,cbow,100,sum,0.0,30000,3838959,1,3,1.31,0.22,0.76,0.08,0.94,0.09,3.8
expB_cbow_d100_8M,cbow,100,sum,0.0,30000,7678632,1,3,4.49,0.52,3.89,0.27,4.09,0.2,7.5
expB_cbow_d100_full,cbow,100,sum,0.0,30000,16315126,1,3,8.78,0.66,10.82,0.35,10.14,0.43,16.7
expB_cbow_d300_2M,cbow,300,sum,0.0,30000,1915016,1,3,0.29,0.05,0.22,0.08,0.25,0.04,2.6
expB_cbow_d300_4M,cbow,300,sum,0.0,30000,3838959,1,3,1.29,0.2,0.67,0.12,0.88,0.13,5.3
expB_cbow_d300_8M,cbow,300,sum,0.0,30000,7678632,1,3,4.03,0.16,3.44,0.39,3.63,0.24,10.4
expB_cbow_d300_full,cbow,300,sum,0.0,30000,16315126,1,3,9.4,0.88,10.82,0.41,10.35,0.55,22.3
expC_skipgram_d50_full,skipgram,50,,0.0,71290,16718844,1,3,10.85,0.5,14.63,0.25,13.05,0.35,150.0
expC_skipgram_d100_full,skipgram,100,,0.0,71290,16718844,1,3,15.57,0.92,20.08,0.19,18.21,0.32,172.3
expC_skipgram_d300_full,skipgram,300,,0.0,71290,16718844,1,3,15.98,0.5,21.49,0.59,19.2,0.25,340.5
expD_cbow_d100_2M_e1,cbow,100,sum,0.0,30000,1915016,1,3,0.4,0.17,0.24,0.04,0.3,0.08,1.8
expD_cbow_d100_2M_e2,cbow,100,sum,0.0,30000,1915016,2,3,1.15,0.27,0.57,0.02,0.76,0.1,3.8
expD_cbow_d100_2M_e3,cbow,100,sum,0.0,30000,1915016,3,3,1.96,0.14,1.16,0.12,1.43,0.12,5.8
expD_cbow_d100_4M_e1,cbow,100,sum,0.0,30000,3838959,1,3,1.31,0.22,0.76,0.08,0.94,0.09,3.8
expD_cbow_d100_4M_e2,cbow,100,sum,0.0,30000,3838959,2,3,3.16,0.1,2.83,0.22,2.94,0.17,7.7
expD_cbow_d100_4M_e3,cbow,100,sum,0.0,30000,3838959,3,3,4.89,0.12,4.56,0.07,4.67,0.05,11.6
expD_cbow_d100_8M_e1,cbow,100,sum,0.0,30000,7678632,1,3,4.49,0.52,3.89,0.27,4.09,0.2,7.3
expD_cbow_d100_8M_e2,cbow,100,sum,0.0,30000,7678632,2,3,7.48,0.62,9.1,0.25,8.56,0.04,15.1
expD_cbow_d100_8M_e3,cbow,100,sum,0.0,30000,7678632,3,3,9.41,0.41,12.4,0.34,11.4,0.25,22.7
expE_cbow_d100_full_sample1e-3,cbow,100,sum,0.001,71290,12505839,1,3,9.5,0.63,13.08,0.24,11.59,0.23,13.6
expE_skipgram_d100_full_sample1e-3,skipgram,100,,0.001,71290,12505839,1,3,18.72,0.07,20.68,0.09,19.87,0.07,126.2
